,text,created_at,id_str,retweet_count,favorite_count,in_reply_to_screen_name,geo,source,language,followers_count,id,name_at_tweet_time,screen_name,user_location,user_created_at,search_term_group,search_term,ibm_watson_sentiment,ibm_watson_sentiment_label
2369,"Atualizou o Produto: Placa de Video Gigabyte GeForce RTX 3060 Ti Gaming OC PRO, LHR, 8GB, GDDR6, 256-bit, GV-N306TG… https://t.co/SG97EJs2QI",2021-11-25 21:14:34,1463979447334453248,0,1,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,gigabyte,Gigabyte,0.861306,positive
1180,@alinezitadias Sim essa https://t.co/VJCUI0n3K1,2021-11-26 12:25:15,1464208629817659392,0,4,alinezitadias,,Twitter for Android,pt,48,2564373959,Denis Alexandre,DenisDenismagni,"Itajaí, Brasil",2014-05-26 00:21:57+00:00,lenovo,ideapad,0.596059,positive
1022,"Notebook Lenovo Ultrafino Ideapad 3 R5-5500u 8gb 256gb Ssd Linux 15.6 82mfs00100 Cinza

R$ 2.617,25
Preço Promocion… https://t.co/UAhfDAKHzN",2021-11-26 17:18:35,1464282450578837504,0,0,,,Twitter Web App,pt,86,848110754,Mão de Vaca,MaoDeVacaDesc,,2012-09-26 20:55:57+00:00,lenovo,ideapad,0.387364,positive
1816,"@ASaoblack Se o PT apoia, aplaude, festeja, concorda!!! 
Eu desapoio, vaio, sou contra, discordo!!!
Quem perde é o país, e não o governo.",2021-11-25 18:53:13,1463943874611720192,0,0,ASaoblack,,Twitter for Android,pt,24,351809368,🇧🇷Tarcisio da Ross🇧🇷,tarcisio5tech,,2011-08-09 19:21:52+00:00,sony,vaio,0.478149,positive
2093,@submarino VAIO AÍÍÍÍÍÍÍÍ #SubFriday,2021-11-23 18:22:09,1463211282669219840,0,0,submarino,,Twitter Web App,pt,128,1363784702537121794,Jam cansou da vida🚨📖,Dr_DrakeRamory,dentro do seu coração,2021-02-22 09:36:34+00:00,sony,vaio,0.585197,positive
802,"O Produto voltou ao estoque: PLACA DE VÍDEO ASUS ROG STRIX GEFORCE RTX 3080 V2, LHR, 10GB, GDDR6X, DLSS, RAY TRACIN… https://t.co/6lUYKFzpXx",2021-11-26 21:03:09,1464338964685508608,0,0,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.610746,positive
514,"iphone 13 tá mais caro que um macbook pro m1 de 2020, acho que alguém perdeu a noção da realidade",2021-11-24 17:03:52,1463553970354507776,0,1,,,Twitter for iPhone,pt,49,1175245813368406016,Marcela,vidademarcela,Porto Alegre,2019-09-21 03:10:32+00:00,apple,macbook pro,-0.970669,negative
985,@Thinkpad_dede faz uns anos que eu tava tentando entender tbm KKKK,2021-11-23 23:48:03,1463293298278342656,0,1,Thinkpad_dede,,Twitter Web App,pt,107,1148344322934366209,𝖕𝖆𝖙𝖔.,duck98_,"São Bernardo do Campo, Brasil",2019-07-08 21:33:16+00:00,lenovo,thinkpad,0.0,neutral
626,"Estou a vender o meu portátil antigo!

Com a troca para Mac, já não necessito do portátil antigo que é um ASUS Zenb… https://t.co/jnpOtxxlXy",2021-11-22 17:16:08,1462832279768768512,2,14,,,Twitter Web App,pt,7335,54599495,João Ferreira 📸,itsmeERROR,Portugal,2009-07-07 16:37:24+00:00,asus,zenbook,-0.730761,negative
1123,"Atualizou o Produto: Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX30… https://t.co/HgQh8zyuFO",2021-11-26 13:15:40,1464221318770003968,0,0,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.0,neutral
2170,"quinta-feira, 25 de novembro de 2021

Fab: Gigabyte  | 🥷 Prime Desconto

Fab. ReclameAQUI: -- CUIDADO ⚠️ Respondida… https://t.co/kyd7B6CqB2",2021-11-25 16:59:46,1463915326215700480,0,1,gpubipolar,,gpubipolar,pt,17006,1285199873890045953,GPU Bipolar,gpubipolar,,2020-07-20 13:08:51+00:00,gigabyte,Gigabyte,-0.548696,negative
1498,"#promoção #oferta  Cooler para Processador Gigabyte Aorus - R$ 399,92  #informatica #BlackFriday #BlackFriday2021 https://t.co/7TJfh4JWYm",2021-11-27 17:27:02,1464646962985455616,0,1,,,Promobit,pt,24490,2256456476,Promobit,PromobitOficial,Brasil,2013-12-21 13:10:59+00:00,gigabyte,Gigabyte,0.697765,positive
355,"@__ruda__ Tenho um MacBook, não Pro mas da mesma época, e que parou no 10.7 pois foi decretado que ele não seria 64… https://t.co/SLe5KURuM0",2021-11-28 12:22:34,1464932728537862144,0,2,__ruda__,,Twitter Web App,pt,130,2842307121,Giovanni Nunes,plainspooky,Campinas/SP (Arrakis?),2014-10-24 01:33:47+00:00,apple,macbook pro,-0.768396,negative
329,"@beafinancas Dell é ruim demais
Negócio é Lenovo. Thinkpad for life.",2021-11-25 13:47:56,1463867049625755648,0,0,beafinancas,,TweetDeck,pt,179,72098075,Jorge,JorgeBaka,Rio de Janeiro,2009-09-06 18:51:53+00:00,lenovo,thinkpad,-0.726474,negative
1627,"[Americanas] Vaio FE14 Core i3 10ª Geração Windows 10 Home ssd - Branco R$ 2593,83 #desconto #oferta #promocao… https://t.co/EMLGA4xprK",2021-11-26 01:35:06,1464045011671166976,0,0,,,promos_collector,pt,356,1324387343508426755,"Promoções, ofertas e descontos",promos_follower,,2020-11-05 16:26:12+00:00,sony,vaio,0.58235,positive
62,"Leilão da Receita Federal oferece iPhone 12 por R$ 2 mil, MacBook Pro, PS4 e lotes de celulares Xiaomi… https://t.co/xSwiwdZbzH",2021-11-29 16:18:04,1465354384896774144,1,0,,,dlvr.it,pt,324,1103683174478032896,Feedy News 🇧🇷,feedynewsBR,Brasil,2019-03-07 15:45:49+00:00,apple,macbook pro,0.0,neutral
1103,"Falando nisso, tô vendendo meu ideapad 😁 https://t.co/zFR5gx2Fwm",2021-11-26 14:33:19,1464240856161046528,0,0,rafaelkola,,Twitter for iPhone,pt,3,1388294975373336583,Rafael Kohler,rafaelkola,,2021-05-01 00:51:42+00:00,lenovo,ideapad,0.376672,positive
491,RT @silmendesss: hoje só um MacBook Pro da Apple me faria feliz,2021-11-21 11:25:58,1462381769110470656,1,0,,,Twitter for iPhone,pt,2624,273533166,RAIO DOURADO DE KONOHA,__MatheusAguiar,,2011-03-28 17:37:32+00:00,apple,macbook pro,0.959767,positive
1172,"Bora melhorar o seu PC! Pruumo de placa mãe? estamos tendo

Saiba mais em ▶ https://t.co/4FL0qNHvGy https://t.co/oSPZ8IfaP2",2021-11-29 19:30:15,1465402747767955456,1,9,,,mLabs - Gestão de Redes Sociais,pt,98361,73205523,Pichau Informática,pichauinfo,"Joinville, Brasil",2009-09-10 19:59:33+00:00,gigabyte,Gigabyte,0.788179,positive
177,"OFERTA DO DIA! AINDA ESTÁ COM UM ÓTIMO PREÇO!

Notebook Lenovo Ideapad 3i, Intel Core i5 10210U, 8GB RAM, 256GB SSD… https://t.co/aLzx8boNss",2021-11-29 11:48:33,1465286555229163520,0,0,,,Twitter Web App,pt,71,1458425665980702724,O MELHOR NOTEBOOK PARA VOCÊ!,ajudantbk,Goiânia,2021-11-10 13:26:03+00:00,lenovo,ideapad,0.730571,positive
19,"RT @HaruJiggly: Qual tipo de gamer você é? Pra todos os tipos, a chance de aproveitar a Black Friday é agora! Imagina o que dá pra fazer co…",2021-11-28 15:36:42,1464981583279001600,23,0,,,Twitter for Android,pt,678,95640532,Matheus Turella🇧🇷🇨🇦,matteoturella,"British Columbia, Canada",2009-12-09 12:58:37+00:00,dell,alienware,0.870807,positive
67,@Morderyn Por 12k tu compra um MacBook M1 que da um pau nesse Alienware,2021-11-27 11:10:49,1464552286345117696,0,1,Morderyn,,Twitter for iPhone,pt,98,36861965,Marcos Sartori,marlls1989,,2009-05-01 02:48:26+00:00,dell,alienware,-0.85497,negative
1897,"é obvio q sempre vaio ter novas formações, e talz, MAS nunca nada vai superar as antigas (menção honrosa para SPD),… https://t.co/vfezqzTq56",2021-11-22 18:49:42,1462855826721460224,0,0,Gnooumo,,Twitter Web App,pt,35,385613251,Gnom,Gnooumo,,2011-10-05 20:16:14+00:00,sony,vaio,0.414532,positive
1669,"@jackelyneCampos @Euclides_crf O fardo vai ser mt grande pra ele aguentar. Eu não sou do tipo que vaio, mas vão ter… https://t.co/Q6HQLUVfig",2021-11-27 23:00:32,1464730890878267392,0,4,jackelyneCampos,,Twitter Web App,pt,173,1427342950581866501,Pognei,Pognei_CRF,"Tondela, Portugal",2021-08-16 18:56:41+00:00,sony,vaio,-0.877638,negative
1519,"Quatro marcas de notebook que eu jamais teria receio de comprar: 

- Sony vaio 
- Asus 
- Acer 
- Apple",2021-11-26 11:32:32,1464195362030239744,0,0,,,Twitter for iPhone,pt,206,53071946,rbk com k,bekacontente,Olinda Pernambuco,2009-07-02 14:08:49+00:00,sony,vaio,0.0,neutral
1412,"Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX3090-24G-W...

🙁 SUBIU e AGORA CUSTA:… https://t.co/3rrGRFi0mv",2021-11-25 19:03:30,1463946463948464128,0,0,,,gpubipolar,pt,17006,1285199873890045953,GPU Bipolar,gpubipolar,,2020-07-20 13:08:51+00:00,asus,rog strix,0.502887,positive
214,#adrenalive tô pensando em comprar um Acer predator helios 300 da 11°com a 3060 2x16 de ram não chego ainda mais ac… https://t.co/QktlHzRmin,2021-11-26 00:56:22,1464035264196657152,0,0,,,Twitter for Android,pt,0,1411651252593758211,rieidi,rieidi2,,2021-07-04 11:41:11+00:00,acer,acer predator,-0.737583,negative
2189,tenho mil pessoas silenciadas JAMAIS por inúmeros motivos diferentes https://t.co/IT5zHCGkyi,2021-11-25 22:48:10,1464003003787227136,0,0,,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,0.430079,positive
1056,"Atualizou o Produto: Placa de Vídeo Asus ROG Strix RTX 3070 V2 OC, 14 Gbps, O8G GDDR6, DLSS, LHR, Ray Tracing, Whit… https://t.co/GTLjQqQtJU",2021-11-26 02:55:20,1464065206628364288,0,0,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.0,neutral
1291,@Souza__Paes KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK confirma?? @DuduDutz @onlyackrman @juaunlu,2021-11-28 14:24:08,1464963322688815104,0,1,Souza__Paes,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,0.534687,positive
2119,"Atualizou o Produto: Placa de Video Gigabyte GeForce RTX 3080 Ti Gaming OC 12GB GDDR6X 384-bit, GV-N308TGAMING OC-1… https://t.co/1MN4RTQFb6",2021-11-26 12:17:32,1464206688500826112,0,0,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,gigabyte,Gigabyte,0.799082,positive
2388,"Como veis este monitor #gaming #Gigabyte de @aorus_es?
https://t.co/gOafSFv9Xc",2021-11-23 14:57:21,1463159741505585152,0,0,,,Twitter for Android,pt,804,788020085453619200,Foster Tag (Javier) WG 🐺,fostertag6,"Huesca, Aragón",2016-10-17 14:13:24+00:00,gigabyte,Gigabyte,0.0,neutral
2380,@Gii_Gigabyte Organização mama suga?,2021-11-24 16:45:10,1463549263930081280,0,0,Gii_Gigabyte,,Twitter for Android,pt,385,953522197469061120,gab_paes,Souza__Paes,Brasil,2018-01-17 06:59:42+00:00,gigabyte,Gigabyte,0.0,neutral
666,"@oliverjuless queria montar um dia, mas não tenho dinheiro
comprei um ideapad da lenovo com processador amd Ryzen 5… https://t.co/oC1fk0zKcd",2021-11-25 19:04:35,1463946735844212736,0,0,oliverjuless,,Twitter for Android,pt,296,4856602833,Lazulli (Kin) 🦋🏳️‍🌈,somesourfruit,,2016-01-28 09:43:02+00:00,lenovo,ideapad,-0.529289,negative
2350,@Souza__Paes claro vc fica no ouvido q nem um diabo falando p terminar,2021-11-25 21:16:32,1463979941545091072,0,4,Souza__Paes,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,-0.895985,negative
1963,"@fabrito exatamente, o melhor processador pra tua placa seria um i7 7700k, toda placa mãe normalmente tem essa info… https://t.co/3Dc79jQPSm",2021-11-28 16:35:39,1464996418125508608,0,1,fabrito,,Twitter Web App,pt,678,231164085,Golden retriver,Clovistruppel,"Blumenau, Santa Catarina",2010-12-27 19:43:24+00:00,gigabyte,Gigabyte,0.643105,positive
911,@maduland uma opção seria esse https://t.co/AkHtZREBUF,2021-11-25 14:10:39,1463872764146860032,0,1,maduland,,Twitter Web App,pt,534,1226638317879545857,SacaSo - Ajudando vc a escolher seu notebook bom,Saca_ai,,2020-02-09 22:45:50+00:00,lenovo,ideapad,0.513501,positive
1359,"NOTEBOOK BARATO E DE QUALIDADE

Notebook Samsung Book NP550XDA-KO2BR Intel Celeron

4GB de RAM 
500GB de armazename… https://t.co/3n3SrubJBk",2021-11-23 14:16:58,1463149580393066496,2,1,,,TweetDeck,pt,5767,26815280,Caio Ruscillo,ruscillo,Santos/SP,2009-03-26 18:41:06+00:00,samsung,samsung book,0.703356,positive
1158,"RT @turebaa: VENDO: Macbook pro M1 2020, 8gb de RAM, 256 gb SSD, pouquíssimo uso.
Incluso: Cabo, Carregador e caixa original com manual

Br…",2021-11-22 13:12:53,1462771066120593408,19,0,,,Twitter for iPhone,pt,709,2352570580,Paulo Landim,landiimm,THE,2014-02-19 13:29:11+00:00,apple,macbook pro,-0.254465,negative
1653,@exuliass meu sony vaio é um guerreirinho há 12 anos,2021-11-24 23:19:18,1463648449363161088,0,1,exuliass,,Twitter for iPhone,pt,47,1402435628155998210,Daiane Ramos (em pausa),daianismo,,2021-06-09 01:21:35+00:00,sony,vaio,0.613337,positive
1891,"Assiste aos teus filmes favoritos neste monitor da Gigabyte com financiamento Cetelem!

Com design curvo, 34"" e uma… https://t.co/B3ymfr67IB",2021-11-26 15:30:19,1464255202589126656,0,2,,,Falcon Social Media Management ,pt,31798,2657162540,Globaldata #BlackFriday,globaldata21,"Av. Afonso Costa, 25-26, Lx",2014-07-18 16:52:25+00:00,gigabyte,Gigabyte,0.90365,positive
712,@Thinkpad_dede Slc vai flodar de imagem dessa,2021-11-27 13:44:37,1464590991311065088,0,1,Thinkpad_dede,,Twitter for iPhone,pt,285,1120801979104624646,"Japa, o nesˢᵉᵖⓅ🇮🇹",japa_pontes,"Toyohashi-shi, Aichi",2019-04-23 21:29:50+00:00,lenovo,thinkpad,-0.347087,negative
1347,"⚫️⚫️Oferta #BlackFriday ⚫️⚫️

Asus ROG Strix Scope NX TKL
❌ PVP Recomendado: 159€
✅ Ahora: 108,90€

➡️… https://t.co/S3iarwl3PK",2021-11-25 20:00:00,1463960681930125312,0,0,,,Twitter Web App,pt,605,1128701989590896640,ASUS Store by MacMan,ASUSbyMacMan,"Calle Sepúlveda 182, Barcelona",2019-05-15 16:41:39+00:00,asus,rog strix,0.77709,positive
2214,"quarta-feira, 24 de novembro de 2021

Fab: Gigabyte 

Fab. ReclameAQUI: -- CUIDADO ⚠️ Respondidas: 0/134 Sucesso: -… https://t.co/86Co64J8u4",2021-11-24 23:10:06,1463646136829460480,0,0,gpubipolar,,gpubipolar,pt,17006,1285199873890045953,GPU Bipolar,gpubipolar,,2020-07-20 13:08:51+00:00,gigabyte,Gigabyte,0.0,neutral
1524,"Atualizou o Produto: Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX30… https://t.co/XyeRwKyhYA",2021-11-26 10:38:18,1464181714050334720,0,1,,,placasdevideo.com,pt,2606,1375281889682944002,placasdevideo.com,Xplacasdevideo,,2021-03-26 03:02:22+00:00,asus,rog strix,0.0,neutral
1993,"RT @ThisIsUpamanyuG: FCGOA KIT CONCEPT
FCGOA X HUMMEL X VAIO https://t.co/XfDbz885wZ",2021-11-24 12:22:18,1463483111363149824,1,0,,,Twitter for Android,pt,1514,1404104319373246465,Aarush,Aarush_SC11,,2021-06-13 15:52:27+00:00,sony,vaio,0.827927,positive
2504,"Fechei o domingo com lanche do gigabyte, carne caseira, de lei",2021-11-21 23:42:44,1462567182240567296,0,0,,,Twitter for iPhone,pt,232,1056705415210287104,Fran Polonini,falafranzoca,,2018-10-29 00:32:58+00:00,gigabyte,Gigabyte,0.0,neutral
2584,"@Gii_Gigabyte Redação: governo n tem culpa de nada, está fazendo o melhor governo em anos",2021-11-22 14:25:02,1462789222419648512,0,0,Gii_Gigabyte,,Twitter for Android,pt,317,837084864356679680,O eterno romântico,vulgo_joaov,"Realengo, Rio de Janeiro",2017-03-01 23:39:18+00:00,gigabyte,Gigabyte,-0.882271,negative
1024,"Olha quem voltouu!

Notebook Lenovo ideapad Gaming 3i i5-10300H 8GB 256SSD gtx 1650 4GB 15.6 fhd wva W10 82CG0002BR… https://t.co/gTlGJzguo6",2021-11-26 16:50:28,1464275374871912448,0,3,,,Twitter Web App,pt,534,1226638317879545857,SacaSo - Ajudando vc a escolher seu notebook bom,Saca_ai,,2020-02-09 22:45:50+00:00,lenovo,ideapad,0.616028,positive
1894,RT @juaunlu: @Gii_Gigabyte tu olha pra mim e eu to assim te encarando https://t.co/63FOak0pA3,2021-11-26 15:18:40,1464252269818429440,1,0,,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,0.507431,positive
922,"MSI B550M PRO-DASH, AMD AM4, Micro-ATX, DDR4, no XMP - 911-7C95-103
R$ 599,99 ⭐⭐⭐⭐⭐
Menor preço em 90 dias: R$ 599,… https://t.co/OTmSJQlDX2",2021-11-26 13:45:20,1464228783771336704,0,0,pcbuildwizard,,Twitter Web App,pt,14165,1239657388967329793,PC Build Wizard,pcbuildwizard,"Rio de Janeiro, Brasil",2020-03-16 21:00:22+00:00,msi,msi placa,0.807316,positive
422,"2021 e ainda criticam laptops sem mencionar os modelos

Asus, Dell e Lenovo, p. ex., têm linhas melhores (+ caras),… https://t.co/OUMlO8GmJm",2021-11-25 10:58:55,1463824515566292992,0,1,,,Twitter for Android,pt,418,20764577,Ed Siqueira,edsqjr,"Recife, Brasil",2009-02-13 11:49:26+00:00,lenovo,thinkpad,-0.429319,negative
1400,"Vaio FE14 Core i3 10ª Geração Linux ssd - Branco

🔥 R$ 2.248,82 a vista
🔥 R$ 2.418,09 em 12x sem juros

🎯 Use o cup… https://t.co/UObOjeVQkM",2021-11-26 15:42:25,1464258249679638528,0,0,,,Twitter Web App,pt,16,1299921674054361089,Coisinhas Achadas Promo - Ofertas,coisinhasachada,Brasil,2020-08-30 04:07:44+00:00,sony,vaio,0.605112,positive
525,"Monitor Gamer MSI Optix G24C 23.6"" em oferta na maior Black Friday Gamer! 

Confira no site ▶… https://t.co/PyXcPV2Jwn",2021-11-26 14:00:19,1464232553007796224,1,8,,,mLabs - Gestão de Redes Sociais,pt,98361,73205523,Pichau Informática,pichauinfo,"Joinville, Brasil",2009-09-10 19:59:33+00:00,msi,gamer msi,0.0,neutral
2365,não merece o meu respeito e você sabe q eu te deeei,2021-11-23 16:04:21,1463176604503396352,0,0,,,Twitter for Android,pt,735,3363123251,giovanna,Gii_Gigabyte,021 // 022,2015-07-06 21:38:18+00:00,gigabyte,Gigabyte,-0.712448,negative
